State,District,Latitude,Longitude,District code,Population,Hindus,Muslims,Others_Religions,ST,SC,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Sex_ratio,Literate_Ratio,Working_Ratio,Age_Below_50,Age_Above_50
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,2399901,275970,322,495794,488596,194954,566108,5512,1001.49,54.11,48.29,81.75,15.41
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,3599372,443456,309,154127,583135,223016,897970,8606,976.83,56.63,49.89,80.71,18.12
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,3737588,397870,358,159165,785760,324406,944555,13763,996.96,63.92,46.32,79.23,19.34
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,4983330,77777,403,213195,945269,479914,1297273,22411,1005.81,63.8,40.62,81.55,18.39
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,4217597,559770,332,247089,957407,648568,1186028,19383,1002.77,60.57,48.73,80.92,19.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2046051,1713405,1929,48937,247927,581509,869721,149034,953.52,73.34,35.84,84.13,13.76
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,3491139,244723,115,106745,709757,344667,926768,8831,1007.8,58.44,49.7,78.7,19.29
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,2595321,158887,539,765565,462896,219710,668519,8628,1011.07,58.28,50.41,82.41,17.09
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,4023678,307043,906,132464,871063,632890,1163932,30438,992.35,66.63,45.36,80.26,18.46
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,3328380,670737,434,82831,737945,195001,816721,10081,987.74,52.48,50.07,84.43,15.02
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,3673456,334172,267,364269,708954,136843,757821,6153,976.71,47.88,51.38,83.6,15.73
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,2637313,342449,217,168985,537947,163074,604719,8635,991.61,53.97,47.55,82.93,16.79
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,3249231,188646,132,394279,637385,228818,789225,7715,982.53,57.36,49.92,81.1,18.68
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,2123426,391596,146,192941,371074,186740,545913,5261,1040.02,54.47,49.43,81.38,17.15
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,3150195,220654,206,151145,787861,290947,763746,6151,981.29,56.05,50.05,80.95,18.89
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,2666950,9025,106,166118,255664,149554,615432,3988,1014.64,55.32,47.73,80.3,19.56
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,2299129,16423,183,235556,247728,140361,527736,4453,1018.53,52.82,49.39,79.88,19.26
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,3273755,197333,126,530656,616102,237349,828077,12952,996.6,58.79,48.56,80.66,18.93
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,3733191,86142,211,109072,811698,435334,1017568,12050,1003.63,67.37,45.04,80.75,19.19
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,47683,2134,11738,53878,0,4762,14593,170,926.31,49.37,42.48,88.82,11.07
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,12333,652,27868,72400,0,3583,5318,57,1029.4,48.86,40.3,91.08,8.84
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,27854,2289,49393,69979,0,4866,14231,450,979.69,63.07,40.54,88.02,11.9
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,4859,471,34158,90764,0,586,3911,95,1031.78,39.76,41.32,92.41,7.42
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,99020,3846,7277,47410,0,6549,17157,312,911.89,57.0,41.82,89.47,10.43
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28915,2247,10393,25974,0,3068,5932,207,927.78,58.89,41.28,89.49,10.45
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,9551,1482,37085,72911,0,4211,12493,381,984.32,65.11,36.37,91.01,8.93
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,57027,6148,22586,117216,0,22966,30539,2477,979.92,68.55,37.25,93.11,6.71
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,11842,787,349,34811,0,3794,8635,96,714.42,52.17,57.15,89.16,10.8
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,20682,1103,5325,98372,0,3104,16026,98,943.88,42.84,44.8,87.03,12.88
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,5261,411,20967,28468,0,1504,6198,97,888.87,51.51,49.95,84.94,14.87
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,13474,521,59449,78323,0,3123,5373,139,998.37,54.26,39.99,91.21,8.66
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,31265,1970,5556,46380,0,7133,14188,202,818.81,57.77,50.62,89.8,10.12
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,15881,2218,60005,92783,0,6115,14204,303,930.17,57.67,43.8,87.93,12.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,492966,1198036,14,27344,95320,50806,84804,2078,953.42,52.97,33.17,87.23,12.72
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,359145,371033,9,18835,82784,29937,49866,2523,965.86,58.75,34.62,87.12,12.85
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,1038985,654816,98,17569,264897,62135,140205,5316,959.44,67.61,35.01,86.02,13.92
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,327322,597392,19,8419,40260,17676,45444,1166,953.61,52.45,34.99,87.23,12.72
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,655052,13475,6315,325560,44225,16547,28195,1192,953.41,61.65,46.17,88.01,11.96
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,1198401,64526,46,102871,58876,76292,136685,8817,960.78,66.69,42.26,85.88,14.08
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,347878,579929,103,231570,45094,21455,78641,1364,964.15,55.9,35.96,88.31,11.65
